class,OR,p,n_outlier,n_total,model,method,p_bonf,significant
ribosomal,36.70743837787615,1.194727414965744e-69,68,175,Geneformer,|z|>3 (original),4.778909659862976e-69,True
mitochondrial,165.48333333333332,2.784740383219069e-15,10,13,Geneformer,|z|>3 (original),1.1138961532876276e-14,True
constrained,1.5938738577047906,0.00024056582117224076,88,2995,Geneformer,|z|>3 (original),0.000962263284688963,True
disease,0.5374458135751784,1.738569900552756e-07,83,6454,Geneformer,|z|>3 (original),6.954279602211024e-07,True
ribosomal,19.133905013192614,4.4061561721641144e-57,75,175,Geneformer,MAD z>3,1.7624624688656458e-56,True
mitochondrial,284.09744214372716,2.688243058762294e-16,12,13,Geneformer,MAD z>3,1.0752972235049175e-15,True
constrained,1.336101416760148,0.001964905678290549,155,2995,Geneformer,MAD z>3,0.007859622713162196,True
disease,0.5164385015943626,2.613688628176431e-15,165,6454,Geneformer,MAD z>3,1.0454754512705725e-14,True
ribosomal,41.959344846659704,5.427818612519063e-74,69,175,Geneformer,MAD z>3.5,2.1711274450076253e-73,True
mitochondrial,299.75753424657535,5.836092413637397e-18,11,13,Geneformer,MAD z>3.5,2.3344369654549588e-17,True
constrained,2.157568637306025,1.0170745932364588e-09,101,2995,Geneformer,MAD z>3.5,4.068298372945835e-09,True
disease,0.6790419392816475,0.00117031919102915,91,6454,Geneformer,MAD z>3.5,0.0046812767641166,True
ribosomal,42.05487804878049,6.546178361686145e-14,11,175,Geneformer,IQR k=3 (Tukey extreme),2.618471344674458e-13,True
mitochondrial,40.111111111111114,0.027236037211404315,1,13,Geneformer,IQR k=3 (Tukey extreme),0.10894414884561726,False
constrained,3.43122847587433,0.00024465391406121344,16,2995,Geneformer,IQR k=3 (Tukey extreme),0.0009786156562448538,True
disease,0.4156412112438171,0.03199518463386663,7,6454,Geneformer,IQR k=3 (Tukey extreme),0.12798073853546652,False
ribosomal,38.73725490196078,8.371322956958764e-73,70,175,Geneformer,Top-n by MAD score,3.3485291827835056e-72,True
mitochondrial,273.7456140350877,1.5264507095990634e-17,11,13,Geneformer,Top-n by MAD score,6.105802838396253e-17,True
constrained,2.102588218022329,8.743207996810211e-10,108,2995,Geneformer,Top-n by MAD score,3.4972831987240846e-09,True
disease,0.6583208568351359,0.0002631994423998716,97,6454,Geneformer,Top-n by MAD score,0.0010527977695994864,True
ribosomal,4.255259680454891,1.0476961814379905e-06,18,1487,scGPT,|z|>3 (original),4.190784725751962e-06,True
mitochondrial,144.5632333767927,1.4920073466552203e-19,11,37,scGPT,|z|>3 (original),5.968029386620881e-19,True
constrained,6.139670498992533,6.31714491115065e-19,45,2995,scGPT,|z|>3 (original),2.52685796446026e-18,True
disease,1.0569872225081935,0.8122952393048319,21,6454,scGPT,|z|>3 (original),1.0,False
ribosomal,3.596043470453321,3.5306004138189e-14,54,1487,scGPT,MAD z>3,1.41224016552756e-13,True
mitochondrial,43.90317073170732,4.128651460302451e-15,12,37,scGPT,MAD z>3,1.6514605841209804e-14,True
constrained,13.259867527416748,6.14989440978382e-160,259,2995,scGPT,MAD z>3,2.459957763913528e-159,True
disease,2.1121598824272154,1.2023481772533468e-12,133,6454,scGPT,MAD z>3,4.809392709013387e-12,True
ribosomal,5.93428115479472,1.1593832632390714e-08,18,1487,scGPT,MAD z>3.5,4.637533052956286e-08,True
mitochondrial,198.51162790697674,5.3467162598274004e-21,11,37,scGPT,MAD z>3.5,2.1386865039309602e-20,True
constrained,11.567401847218362,9.016451449036446e-32,52,2995,scGPT,MAD z>3.5,3.6065805796145785e-31,True
disease,1.5688032296146386,0.05487924704038102,22,6454,scGPT,MAD z>3.5,0.21951698816152407,False
ribosomal,,1.0,0,1487,scGPT,IQR k=3 (Tukey extreme),1.0,False
mitochondrial,,1.0,0,37,scGPT,IQR k=3 (Tukey extreme),1.0,False
constrained,,1.0,0,2995,scGPT,IQR k=3 (Tukey extreme),1.0,False
disease,,1.0,0,6454,scGPT,IQR k=3 (Tukey extreme),1.0,False
ribosomal,6.194136949971885,8.408826968154787e-12,25,1487,scGPT,Top-n by MAD score,3.363530787261915e-11,True
mitochondrial,144.5632333767927,1.4920073466552203e-19,11,37,scGPT,Top-n by MAD score,5.968029386620881e-19,True
constrained,13.089313856224997,8.023349211035751e-48,75,2995,scGPT,Top-n by MAD score,3.2093396844143006e-47,True
disease,1.2900946344544992,0.2353955239003065,25,6454,scGPT,Top-n by MAD score,0.941582095601226,False
ribosomal,3.565133883177042,0.015974817285802884,5,172,scFoundation,|z|>3 (original),0.06389926914321153,False
mitochondrial,2.086327782646801,0.3861763545129284,1,57,scFoundation,|z|>3 (original),1.0,False
constrained,0.8851980183843533,0.6654452707025709,23,2995,scFoundation,|z|>3 (original),1.0,False
disease,0.8445236398194346,0.36092543330827964,49,6454,scFoundation,|z|>3 (original),1.0,False
